text,topic
"Rodgers Hoping to Star in Cal Showdownn (AP) AP - This time, Aaron Rodgers is determined to finish what he starts against top-ranked USC.",Sports
"SECOND LOOKSnapshots from the latest in college football With the weight of a perfect season and a potential BCS Maelstrom swirling in the wind, Auburn rallies in Tuscaloosa for a satisfying Iron Bowl victory against gritty Alabama.",Sports
"Ask Jeeves to boost search site with portal features Ask Jeevesis actively looking at strengthening its flagship search engine Web site with features, services and technologies found elsewhere in its online network.",Sci/Tech
"Air NZ Says Australian Regulator Grants Alliance Appeal Air New Zealand said on Tuesday the Australian Competition Tribunal had approved a proposed alliance with Australia #39;s Qantas, despite its rejection in New Zealand.",Business
KUEHNE AND SLUMAN MAKE FORWARD MOVE Hank Kuehne and Jeff Sluman combined to fire a 10-under-par 62 and join Steve Flesch and Justin Leonard at the head of the Franklin Templeton Shootout leaderboard.,Sports
"Bellamy apologizes to Souness after swearing following &lt;b&gt;...&lt;/b&gt; Newcastle manager Graeme Souness accepted an apology from Craig Bellamy on Thursday, after the player muttered obscenities at the manager in a 1-1 draw Sunday against Charlton.",Sports
"Delphi Announces Plans to Cut 8,500 Jobs in 2005 That #39;s about one percent of the total work force for the world #39;s largest automotive supplier. The Troy, Michigan-based company had set the same goal for this year and exceeded it through attrition.",Business
Stop and start suits Citroen The French carmaker PSA Peugeot Citron sought to strengthen its green credentials yesterday with the launch of a new system that cuts petrol consumption and emissions by automatically switching off the engine at traffic lights or in queues.,Sci/Tech
"EU decides to lift arms embargo on Libya The foreign ministers #39; meeting of the European Union (EU) decided in Luxembourg Monday to lift the arms ban against Libya, which the bloc imposed 18 years ago.",World
"Long story TORONTO -- If the faithful among Red Sox Nation looked to the sky late last night, they may have been convinced that it was aglow with a late-summer display of Northern Lights. Instead, it was the fireworks grand finale to a dazzling, 11-5 drubbing of the Blue Jays that had the Sox belting out four home runs and 17 hits ...",Sports
"GOLF: Woods-Mickelson not dream team Tiger Woods paired with Phil Mickelson. A dream team in golf gloves. Together, they would lead the charge at the Ryder Cup, carry the United States into an early lead, discourage the Europeans, ignite the home crowd.",Sports
Merck heads to Capitol Hill BOSTON (CBS.MW) -- Pharmaceutical behemoth Merck heads to Capitol Hill Thursday to testify at a Senate hearing on whether the government should have forced the drugmaker to withdraw its Vioxx drug from the market before late September.,Business
Harry Potter IP claim pinned down on the beaches Tour company shows Warner Brothers the Churchill spirit,Sci/Tech
"Judge reserves decision in Air India terrorism trial (AFP) AFP - Two men charged with murder and conspiracy in the Air India bombings, the world's most lethal terror strike prior to September 11, 2001, will wait until March to hear a verdict, a judge said.",World
"Boots shares dip on lacklustre outlook The health and beauty retailer Boots today warned of a difficult outlook for the crucial Christmas period, sending its shares down almost 5 in early trade.",Business
"Pathmark posts loss, shares slide Grocer warns on debt contracts, slashes full-year forecast, as it struggles with costs, weak sales. CHICAGO (Reuters) - Regional grocer Pathmark Stores Inc.",Business
"What are Blogs, and Why Your Business Should Use One What are Blogs, and Why Your Business Should Use One\\A few weeks ago I was involved in a very strange conversation with some pretty bright people. One publishes a widely circulated industry magazine, another was an industry consultant, and the last was the CEO of a major corporation in the ...",Sci/Tech
"Online Extra: ""I Give So They Can Give Back"" (BusinessWeek Online) BusinessWeek Online - Chris Aque, a 17-year-old high school senior in Chicago, is big on the new band Tilly and the Wall. Tilly is the first group to be signed by new indie label Team Love, which was co-founded by Conor Oberst of the band Bright Eyes and Nate Krenkel, and offers free downloads as a way to promote its bands. Aque loves music and talking about the bands he likes with other music fans online at sites including the social networking service LiveJournal.",Sci/Tech
Football: Real prepare for crucial tie Real Madrid held their final training session in Rome on Tuesday evening ahead of their must-win Champions League match against Roma on Wednesday night.,Sports
"UK Ad Firm Clinches Bid for U.S. Rival (Reuters) Reuters - British advertising company WPP\ on Sunday said it has won an auction for U.S. rival\Gray Global , with what sources familiar with the\matter said was a cash-and-stock deal worth about 750 million\pounds ( #36;1.34 billion).",Business
"Open Source Apps Developer SugarCRM Releases Sugar.Sales 1.1 (TechWeb) TechWeb - News - August 13, 2004",Sci/Tech
"Redskins Execute, Roll The Redskins were crisp on offense and defense, holding the ball for 41 minutes and allowing 98 total yards in a complete 17-0 victory in Miami.",Sports
"Update 5: EU Official Concerned About Italy Figures The European Union #39;s top monetary official said Tuesday he was concerned over Italian budget deficit figures, only a week after Greece was challenged over alleged sloppy bookkeeping and possible underreporting of its deficit to present a rosy economic ",Business
Tokyo Stocks Treading Water  TOKYO (Reuters) - Tokyo stocks spent Friday morning  treading water as worries over record-breaking oil prices and  their possible impact to the global economy overshadowed  renewed hopes that Japan's economy is still on track for  sustained growth.,Business
"Serena Fights Back, Davenport Off to a Flier in LA  LOS ANGELES (Reuters) - Serena Williams came back from a  set and two breaks down to beat Anastasia Myskina 4-6, 6-3, 6-4  on the opening night of group play at the WTA Championships  Wednesday.",Sports
"Indonesian magazine editor sentenced to year in prison in libel &lt;b&gt;...&lt;/b&gt; JAKARTA, Indonesia: A court on Thursday sentenced the editor of Indonesia #39;s leading news magazine to a year in prison on libel charges, in what critics said was a setback for press freedom.",World
"No Surprise, the Angels Send Guillen On His Way The Anaheim Angels, who had preliminary conversations with the Mets about trading Jose Guillen for Mike Piazza, dealt him to the Washington-bound Expos.",Sports
"Cabinet pledges anti-terror measures ISLAMABAD: The federal cabinet on Wednesday resolved to take any measures required to eliminate militancy and terrorism in Pakistan and reiterated the governments pledge to defend the countrys sovereignty, integrity and security.",World
"I Let It Slide, Admits Downcast Mickelson  BLOOMFIELD HILLS, Michigan (Reuters) - Shell-shocked Phil  Mickelson had little explanation for his miserable opening day  Ryder Cup form Friday after he partnered Tiger Woods to two  defeats against Europe.",Sports
EU lifts sanctions on US  for now The European Union decided yesterday to lift heavy punitive tariffs on US goods but said it might renew them if the World Trade Organization confirms suspected loopholes ,Business
"Frances Plows Ashore in Panhandle PANACEA, Fla. - Tropical Storm Frances plowed ashore on the Florida Panhandle on Monday, its second U.S...",World
"Modern technology for an ancient sport One sport that relies increasingly on GPS technology is horseback riding ( quot;Space-age sport, quot; Aug. 16). Horseback riders who practice trail riding for pleasure, or the more demanding cross country sports, are beginning to use GPS in large numbers.",Business
Pampling clings to lead at Australian Open Australia #39;s Rod Pampling recovered from a shaky start to Saturday #39;s third round of the centenary Australian Open to retain the outright lead going into the final day.,Sports
UPS Profit Grows But Misses Estimates (Reuters) Reuters - United Parcel Service Inc. \said on Thursday its quarterly profit rose but missed\expectations as shortfalls in its U.S. package business and\rising fuel prices offset strength internationally.,Business
"Stephen Dunn/Getty Images com. Orlando Cabrera has already figured out how to part the Red Sea. With a three-run double in the top of the ninth, Cabrera sent waves of red-clad Angels fans to the exits.",Sports
Sharks respond to magnetic lines Hawaiian scientists provide hard evidence to support the theory that sharks navigate with a biological compass.,Sci/Tech
Rogue proteins give yeast an edge Rogue proteins that behave like those linked to vCJD and Alzheimer's can give yeast a survival advantage.,Sci/Tech
IBM sharpens BladeCenter offering IBM has beefed up its popular BladeCenter offering with the introduction of six new models and improved power management features.,Sci/Tech
Auburn Headed To Sugar Bowl Auburn #39;s 38-28 win in the SEC championship game Saturday gave the Tigers a perfect 12-0 regular season. It was the first Auburn football team to accomplish that feat.,Sports
Alta prison bans pedophile from socials with kids that fuel his fantasies (Canadian Press) Canadian Press - WINNIPEG (CP) - A medium-security prison in Alberta has banned a Manitoba pedophile from social functions with the children of other inmates following the man's admission that the events fuel his sexual fantasies.,World
&lt;em&gt;Reg&lt;/em&gt; readers name BSA antipiracy weasel &lt;strong&gt;Poll result&lt;/strong&gt; The people have spoken,Sci/Tech
Olympics: Hamm salutes triple victory from gymnastics controversy WASHINGTON : American Paul Hamm was celebrating what he hailed as a  quot;third victory quot; after being told by the Court of Arbitration for Sport that he could keep the Olympic gold medal he won in the men #39;s all-around gymnastics event in Athens.,Sports
"Meta Arafat! Palestinians deserve his dream The next step is for all Palestinians to participate in elections, including those in occupied territories and in exile. By Omar Merhi.",World
Enter a Category Red Sox fans never had the chance to boo Grady Little for letting Pedro Martinez start the eighth inning against the Yankees in Game 7 of the 2003 ALCS.,Sports
"Treatment of lockout shows NHL #39;s problems The announcement of the National Hockey League player lockout was treated as headline news in Canada, running as the top story throughout the Canadian media.",Sports
"Dell recalls nearly a million laptop AC adapters Washington, DC - If you own a Dell laptop, you might want to check out the type of AC adapter that it uses. That is because the company has decided to recall nearly a million AC adapters because of a potential fire and electrical shock hazard.",Sci/Tech
IDC: Handheld sales continue to slide The research firm cites a decline in shipments from PalmOne and the withdrawal of Sony from the U.S. market.,Sci/Tech
"Iran official warns of nuclear pact pullout if pressurised TEHERAN - Iran will pull out of the nuclear Non-Proliferation Treaty (NPT) and develop its atomic programme in secret if Western countries threaten or put pressure on Tehran, a senior Iran diplomat was quoted as saying on Wednesday.",World
"Toll of Death and Ruin Grows in Soaked Jamaica The storm was continued today toward Florida, with the Cayman Islands and Cuba immediately in its sights.",World
"Insurgents Attack Iraq Election Offices (Reuters) Reuters - Insurgents have launched attacks\on election offices in northern Iraq, killing two people and\wounding nine six weeks before Iraqis are due to go to the\polls.",World
"At Meeting, Lazard Board Takes No Vote on Offering The board of Lazard met in Paris but did not vote on a plan by its chief executive, Bruce Wasserstein, to take the firm public.",Business
"Bucs outrun Chiefs If every Sunday was Christmas and every defense had as many holes as the Kansas City Chiefs, the Tampa Bay Buccaneers would regularly be racking up five touchdowns, 418 total yards, 130 yards ",Sports
Ala. Bank AmSouth to Pay \$10M Penalty Federal regulators imposed a \$10 million penalty against an Alabama bank for alleged violations of rules barring money laundering.,Business
"North Korea #39;s nuclear weapons program The Bush administration responded calmly Tuesday to North Korean claims it has turned the plutonium from 8,000 spent nuclear fuel rods into nuclear weapons.",World
Aid sought for storm damage Officials yesterday sought international help to rebuild villages ravaged by back-to-back storms that left 566 persons dead and 546 missing in mostly poor northern agricultural regions.,World
"Wannstedt Decides Against Coaching at Pitt (AP) AP - Former Miami Dolphins and Chicago Bears coach Dave Wannstedt decided Thursday not to seek the coaching job at Pitt, the school where he played and once was an assistant coach.",Sports
Iran 'serial child killers' held Iranian police arrest two men suspected of murdering several children and burying their bodies in the desert. ,World
"Talks to resume N. Ireland peace collapses No agreement has been reached in the negotiation between Northern Ireland #39;s Democratic Unionist Party, or DUP and its rival Sinn Fein, to resume peace talks.",World
"UMich Finds Consumer Sentiment Up a Bit US consumer sentiment brightened slightly in November, helped by cheaper gasoline and a better jobs outlook, a survey released on Wednesday showed.",Business
"Ivory Coast appointment provokes rebels, France Ivory Coast says 63 people have been killed in a week of clashes with French troops as it hands over military powers to a former head of its northern command, whose appointment is considered a provocation by both the rebels and France.",World
Taking Software for a Test-Drive (Ziff Davis) Ziff Davis - Enterprise application vendors should be lauded for offering evaluation versions.,Sci/Tech
Muslim cleric Bashir on trial again in Indonesia JAKARTA : An Indonesian Muslim cleric cleared last year of leading the Al-Qaeda-linked Jemaah Islamiyah extremist group goes on trial again on Thursday accused of involvement in the Bali and Marriott hotel bombings.,World
Bradley won #39;t be disciplined LOS ANGELES  Los Angeles outfielder Milton Bradley won #39;t be disciplined by the Dodgers for a clubhouse confrontation with a reporter he called an  quot;Uncle Tom.,Sports
"British hostage feared dead in Iraq as rebels attacked in Mosul BAGHDAD (AFP) - British officials said they believed Margaret Hassan, a British-Irish aid worker kidnapped in Iraq last month, had been killed by her captors after a video was issued apparently showing her murder.",World
"One in Five Germans Wants the Berlin Wall Back  BERLIN (Reuters) - Fourteen years and a trillion euros  after reunification one in five Germans would like to see the  barrier that split the country during the Cold War put back, a  survey found Wednesday.",World
"Knicks Defeat Nets, 87-79 (AP) AP - Jamal Crawford scored 30 points in a game otherwise defined by offensive ineptitude  #151; such as the New York Knicks holding the New Jersey Nets without a basket for 15 minutes  #151; in an 87-79 victory Tuesday night.",Sports
Rogge wages war on drugs cheats IOC president Jacques Rogge has vowed that a record number of doping tests will be carried out at the Beijing Olympics in an effort to fight the war he admits will never be won.,Sports
Karl Malone Visits Lakers Training Camp (AP) AP - Karl Malone showed up at the Los Angeles Lakers training camp Saturday to visit old teammates and club officials.,Sports
Getting bedrock value A conversation about Walter McCarty never stays focused on the Celtics' versatile forward for long. Just ask coach Doc Rivers.,Sports
"Australia May Say Goodbye to Cowboy Hats (AP) AP - The sweat-stained felt hats worn by Australian cowboys, as much a part of the Outback as kangaroos and sun-baked soil, may be heading for the history books. They fail modern industrial safety standards.",World
US Vetoes UN Measure Demanding Israel Leave Gaza The United States on Tuesday vetoed a draft UN Security Council resolution demanding an immediate end to Israeli military operations in the Gaza strip that have cost some 68 Palestinian lives.,World
"Blast at Thai fireworks factory kills 14 BANGKOK - Fourteen people were killed and five injured yesterday in an explosion at a fireworks factory in Thailand #39;s ancient capital Ayuthya, officials and witnesses said.",World
Ivory Coast snubs Francophone summit after spat Ivory Coast angrily pulled out of a summit of French-speaking countries on Friday after police in the host nation Burkina Faso confiscated ,World
Group Claims to Kill Kidnapped Iraq Troops (AP) AP - An Iraqi extremist group said on its Web site Thursday that it had killed 11 Iraqi troops taken hostage south of Baghdad and posted video of the bound men being shot or beheaded.,World
"Wal-Mart Sees Nov. US Sales Up 0.7 Pct Wal-Mart Stores Inc. (WMT.N: Quote, Profile, Research) , the world #39;s largest retailer, said on Saturday it expects a 0.7 percent increase in November sales at its US stores open at least ",Business
"Dark chocolate found to aid blood flow MUNICH -- Good news for chocoholics: Eating dark chocolate improves healthy blood flow, according to research published today.",World
"Semiconductors Offer a New Way to Cut the Cord HAT a liberating feeling it is to cut the cord and go wireless, taking a suddenly untethered laptop, for example, and heading for the couch or porch swing to work on the Internet.",Sci/Tech
"Crows as Clever as Great Apes, Study Says While crows have a reputation for being clever birds, research now suggests they could be as intelligent as great apes.",Sci/Tech
"Big Jake makes his mark he #39;s the tallest, most solidly-built player in international cricket at the moment. The next thing that gets your attention ",Sports
"Microsoft awaits penalties timing Microsoft is expected to hear next month whether antitrust penalties imposed by the European Commission will become effective immediately, or whether they will be suspended for possibly four to five years.",Business
"As With Other Chip Makers, Sales Begin to Stall at Philips, Signaling a possible wider slowdown in the semiconductor industry, Royal Philips Electronics on Friday became the latest company to say that its chip sales had begun to stall, at least temporarily.",Business
"Vioxx Alternatives: Different, Less Serious, Side Effects (New York-WABC, October 1, 2004) - Two million Americans were taking Vioxx. Now that it #39;s been recalled, what are those patients supposed to do?",Business
"Warner to Start Against the Jets Kurt Warner will start Friday night, but both Giants quarterbacks will play on the starting offense, which is expected to play until the middle of the third quarter.",Sports
"Ex-Serono executive charged in bribery case Federal prosecutors yesterday alleged that a former sales director for Serono Inc. offered doctors bribes in return for prescribing its AIDS treatment as part of a marketing program at the Swiss drug company, whose main US offices are in Rockland.",Business
"Samsung launches camera phone with hard drive Samsung Electronics, largest producer of color monitors, color TV sets, memory chips, and LCD displays, has announced the  quot;first-ever mobile phone with an internal hard drive quot; (Samsung #39;s slogan for this phone) on Tuesday.",Sci/Tech
Blair's Exit Strategy Sparks Succession Fever (Reuters) Reuters - British Prime Minister Tony Blair was\back at work Saturday after successful heart surgery but his\vow to hold on to power for five more years has sparked fevered\speculation about who might succeed him and when.,World
"Microsoft seeks pre-dividend shift in stock plan SEATTLE - For Microsoft Corp. shareholders, the holidays will likely come early this year in the form of a one-time \$3 dividend thats part of the companys plan to return some of its \$64.",Business
Memories of Merged Eagles-Steelers Revived (AP) AP - One of the biggest Eagles-Steelers games since their long-ago days as conference rivals is reviving memories of the year two of pro football's best cities shared a single team.,Sports
"Portugal faces general election Portuguese President Jorge Sampaio calls an early general election to end ""crisis of credibility"".",World
"ATHENS OLYMPICS 2004 / Japan bags bronze medal Japan hustled, hurled, homered--and what would it be if it didn #39;t bunt a few times--to a face-saving Olympic bronze medal in baseball.",Sports
"Halo 2 global sales pass five million units Microsoft has released a swathe of new figures related to Bungie #39;s Xbox opus, Halo 2, revealing that the title has now sold over five million units worldwide and become the most popular game in the history of Xbox Live.",Sci/Tech
Rockets rain on Afghanistan ahead of vote (AFP) AFP - Rockets rained on cities and military outposts across Afghanistan as the war-weary nation prepared to go to the polls in Saturday's historic presidential elections.,World
"Opec in no hurry to cut quota LONDON - Despite a recent plunge in oil prices, Opec producers appear to be in no rush to cut output quotas and markets expect the taps to be left wide open when ministers meet in Cairo this week.",Business
"Google Desktop privacy branded  #39;unacceptable #39; Google #39;s Desktop represents a privacy disaster just waiting to happen, a rival has warned. David Burns, Copernic CEO, says users should know that the giant ad broker intends to mix public and private queries ",Business
India PM due to meet Tony Blair Manmohan Singh kicks off his eight-day foreign trip with a meeting with Tony Blair in London.,World
"Museum Addition Brings More Things to Try (AP) AP - Kids arm-wrestle all the time, but over the Internet? And there's nothing unusual about checking your weight, but in gallons? And all of this to illustrate lessons about networks and the search for life in outer space?",Sci/Tech
Northwest Pilots The elected union representatives of Northwest Airlines pilots have voted unanimously to endorse concessions sought by the airline.,Business
Mariners Hire Mike Hargrove As Manager (AP) AP - Mike Hargrove was hired Wednesday to manage the Seattle Mariners and turn around the team after its worst season in 12 years.,Sports
"Pakistan Mobile Phone Firms Vie for Pent-Up Demand  ISLAMABAD (Reuters) - Tens of thousands of Pakistanis  endured hours of stifling heat this week to accept an offer of  free mobile phone connections, a sign of the pent-up demand in  a country where cell phone usage has remained low.",Sci/Tech
"Talks include trade, security, and diseases control Thirtynine leaders from Asia and Europe yesterday began informal talks on issues on trade, security threats and terrorism, proliferation of weapons of mass destruction ",World
"Nigerian oil platforms still occupied in jobs row Multinational oil companies began talks with hundreds of Nigerian villagers occupying three oil platforms on Monday in a dispute over jobs which shut 90,000 barrels per day of oil production.",World
"Chip-Maker Posts Profitable Quarter Higher prices and increased production gave Micron Technology Inc. its second straight profitable quarter, but its fourth-quarter results still fell short of Wall Street estimates.",Business
"Mortar Shell Hits Mosque in Iraq Several people were killed and dozens were injured today in a mortar attack on the main mosque in Kufa, witnesses said.",World
"Morrison says Safeway sales still sinking William Morrison Supermarkets says sales have continued to decline at its newly-acquired Safeway stores which have not yet been converted to the Morrisons brand, but sales at converted stores are up.",Business
No Going-Away Party JACKSONVILLE - University of Florida football players went to Alltel Stadium on Saturday to win one for their coach. Florida #39;s 31-24 loss to 10th- ranked Georgia featured everything the Gators #39; frustrated ,Sports
"Deutsche Telekom to reintegrate T-Online in share swap, buyback FRANKFURT, Oct 9 (AFP) - Germany #39;s Deutsche Telekom is to reintegrate its Internet arm T-Online, Europe #39;s largest Internet provider, via a swap for Telekom shares and a share buyback offer, the company said Saturday.",Business
"Uncertainty still reigns at Delta ATLANTA - Delta Air Lines Inc. has a tentative deal on pilot concessions and much-needed breathing room, but uncertainty about the carrier #39;s debt restructuring remains.",Business
NVE's Nanotrap Snares Speculators NVE Corporation's claim to MRAM fame doesn't stand up to nanoscrutiny.,Business
"UPDATE 1-Gibernau storms to pole for Czech GP Spaniard Sete Gibernau stormed into pole position for Sunday #39;s Czech MotoGP Grand Prix, edging out Brazilian Alex Barros at the end of the rain-affected second qualifying session.",Sports
Blunkett battles nanny #39;s new visa allegations LONDON: Beleaguered British Home Secretary David Blunkett faces damaging new claims he fast-tracked a second visa for his lover #39;s nanny to visit a sister in Austria.,World
"I lied, says sacked PeopleSoft chief Craig Conway, former PeopleSoft CEO, admitted he misled investors when he said people had  quot;lost interest quot; in Oracle #39;s bid for his company.",Business
"Study: IT workers more optimistic IT workers' confidence in the employment market kept growing in July, but techies are less happy with actual jobs than workers overall.",Sci/Tech
"IM Worm Crawls Through JPEG Hole Attack largely unsuccessful, but security experts warn of more to come.",Sci/Tech
"Toyota Prius Voted European Car of Year Toyota Motor Corp. #39;s Prius hybrid has been voted 2005 European Car of the Year, Japan #39;s top auto maker said Monday, after the fuel-sipping sedan picked up the corresponding title in North America in January.",Business
"India to build oil pipeline to Nepal India is to build a pipeline into Nepal to ensure smooth supply of petroleum products in the Himalayan nation torn by an increasingly violent Maoist insurgency, an oil official said on Thursday.",World
"Zimbabwe officials halt racism hearing Zimbabwe cricket #39;s international status was left hanging in the balance yesterday when the first day of the International Cricket Council #39;s investigation into allegations of racism was marred by the sort of intimidation which has, according to the former ",Sports
"Stocks Seen Flat as Oil Prices Climb  NEW YORK (Reuters) - U.S. stocks look to open flat  on  Monday, with oil prices moving higher and the dollar holding  near record lows.",Business
EU ponders sugar reforms EU agriculture ministers are to discuss urgent reforms to Europe's heavily subsidised sugar industry.,Business
"Italians shake off shackles MOST YEARS, AROUND THIS TIME, THE pundits gather around the Champions League tables and begin to draw conclusions, looking for wider trends and patterns.",Sports
More than bragging rights at stake for Michigan and Michigan State Bragging rights are at best the second-most important thing on the line for No. 12 Michigan when it plays rival Michigan State on Saturday.,Sports
"Exit Shinui The moment after Shinui achieved its meteoric achievement of 15 Knesset seats, the question was: Can the party make the transition from a one-issue, one-election wonder to one of the top two national parties?",World
More injury woe for Liverpool boss Rafael Benitez is without Luis Garcia for up to a month as his injury list lengthened last night. Garcia suffered a hamstring injury in the first half of the 1-0 Champions League defeat at Monaco and will be sidelined until around Christmas time.,Sports
New German Mobile Phone to Detect Bad Breath (Reuters) Reuters - A German telecommunications company said\on Tuesday it is developing the first mobile phone that will\alert users when their breath is bad or if they are giving off\offensive smells.,Sci/Tech
"Woods #39; No. 1 is safe for now Tiger Woods lost the lead to Stewart Cink yesterday but his world ranking is safe for the moment. Free from the burden of trying to make the Ryder Cup team, Cink looked at ease on a marathon day at the NEC Invitational that ended with ...",Sports
"Blue Chips End Lower After Oil Rises US blue chips ended slightly lower on Wednesday after crude oil climbed above \$44 a barrel, renewing fears that high energy costs would cut into corporate profits.",Business
"Suse 9.2 goes mobile with Bluetooth and power management The update includes complete manuals, 90-day installation support, both 32-bit and 64-bit versions (including Intel #39;s EMT architecture) and around 3,500 packages.",Sci/Tech
"Now, Owens a little skittish While Terrell Owens would never say he's sorry for his flashy touchdown celebrations, he did apologize yesterday to anyone offended by his role in a steamy segment with actress Nicollette Sheridan for the intro to  quot;Monday Night Football. quot;",Sports
Cingular deal clears hurdle Cingular Wireless moved a step closer to its purchase of AT amp;T Wireless Services after the US Justice Department gave the green light Monday for the \$41 billion deal to proceed.,Business
"Pixar Guides Higher The producer of  quot;The Incredibles quot; and  quot;Finding Nemo quot; also said Thursday that it was entertaining the idea of shifting its schedule back six months, so that its movies -- released at the pace of once a year -- would debut during summer vacation rather than ",Business
"Israeli clergy, military at odds Israel #39;s top military officials spoke out Tuesday against calls for disobedience after rabbis urged religiously devout soldiers to refuse to take part in the removal of Jewish ",World
"Williams's time to shine Bernie Williams isn't sure just what comes over him every year when the leaves change and the air turns crisp, or why he tends to pop out of a box score whenever the Yankees are playing prime-time ballgames for rings.",Sports
"US approves stun guns for international flights US authorities have approved the use of Taser stun guns on commercial flights to and from the United States, the manufacturer has said.",Business
"Guerrero Beaned During Angels Game (Reuters) Reuters - Anaheim Angels\outfielder Vladimir Guerrero was drilled on the left side of\his head by a pitch from Mariners pitcher Ryan Franklin,\forcing him out of Monday's 5-2 win in the first inning.",Sports
"Surf's up for Hutchinson CHICAGO -- Chad Hutchinson, who was surfing in California a little more than two months ago, made his first Chicago start a memorable one yesterday, throwing three TD passes to lead the Bears past the Minnesota Vikings, 24-14. Minnesota (7-5) saw its playoff chances hurt for the second straight year by a late-season loss to the Bears.",Sports
"Google wows investors with first results since IPO (USATODAY.com) USATODAY.com - Internet search giant Google, which raised  #36;1.7 billion in a highly publicized IPO, announced its first quarterly earnings as a public company Thursday, and the results were stellar. Google reported revenue of  #36;805.9 million, more than double last year's  #36;393.3 million.",Sci/Tech
Sudan committed to peace in south and pursuing solution to Darfur crisis (AFP) AFP - Sudanese President Omar al-Beshir reiterated his commitment to implementing peace accords with southern rebels and to pursuing a settlement to the Darfur conflict.,World
Italy 'paid \$1m to free hostages' A senior Italian politician says ransom of \$1m was paid for the release of two hostages held in Iraq.,World
Selig Receives Three-Year Extension (Reuters) Reuters - Owners on Thursday\unanimously voted to extend the term of baseball commissioner\Bud Selig for three years through 2009.,Sports
"Economy Grows at 3.7 Percent Annual Rate The economy grew at an annual rate of 3.7 percent in the summer as a big rebound in auto sales offset weakness from an exploding trade deficit, soaring oil prices and the Florida hurricanes, the government reported Friday.",Business
"Businesses' Inventories Rise; July Sales Up The Commerce Department said that stocks of unsold goods increased by 0.9 percent in July, down from a 1.1 percent rise in June.",Business
"FDA Approves Chip for Patients The Food and Drug Administration approved an implantable computer chip that can pass a patient's medical details to doctors, speeding care.",Sci/Tech
"Convicted spammer granted bail while he awaits sentencing Bail was set at \$1 million Monday for a North Carolina man awaiting sentencing in the nation #39;s first felony prosecution of illegal distribution of junk e-mail, or spam.",Sci/Tech
"AL Capsules Orlando Cabrera hit a run-scoring double off the Green Monster in the ninth inning on reliever Justin Speier #39;s second pitch of the game, giving the Boston Red Sox a 5-4 win over the Toronto Blue Jays on Tuesday night. ",Sports
Bush extends tax break law President Bush used a Monday trip to Des Moines to sign into law an extension of tax benefits that he said will ensure 94 million Americans continue paying lower tax bills next year.,Business
"Iran  #39;has blueprint for nuke #39; Vienna - Equipped with black-market blueprints of a nuclear bomb and some weapons-grade uranium, Iran is defying the United Nations by secretly continuing supposedly suspended activities as it presses ahead with plans to have atomic arms by next year, an ",World
"Australia defy the handicap The absence of Adam Gilchrist and Glen McGrath was a significant handicap Australia carried at Lord #39;s on Saturday, but it was not so heavy as to prevent them beating Pakistan in the NatWest International.",Sports
"BellSouth, SBC in new JV; to buy YellowPages.com NEW YORK, November 4 (newratings.com) - SBC Communications Inc (SBC.NYS) and BellSouth Corporation (BLS) have agreed to acquire the online directory publisher, www.",Business
Web Desktop Moves Raise Security Alerts (Ziff Davis) Ziff Davis - Google's phishing vulnerabilities could foretell new security threats for major Internet companies cozying up to the desktop.,Sci/Tech
"Iraq Combat Fatality Rate Lowest Ever Ten  percent of soldiers injured in Iraq have died from their war wounds, the lowest casualty fatality rate ever, thanks in large part to technological advances and the deployment of surgical SWAT teams at the front lines, an analysis to be published today has found.",World
"Letters: Palestinian leadership The decision by Marwan Barghouti, an imprisoned Palestinian leader, to run for president of the Palestinian Authority should be welcomed by all who want to see real democracy emerge in Palestine ( quot;Barghouti faces Fatah opposition, quot; Dec. 3).",World
"U.S. Ambassador Calls on Taliban to Lay Down Arms  KABUL (Reuters) - The United States called on Taliban  guerrillas to lay down their arms Thursday, saying Afghans had  voted against violence and those who gave up their insurgency  would not be punished unless they were guilty of major crimes.",World
"Fiat, GM to Start Mediation Over Option  MILAN (Reuters) - The heads of Fiat SpA and General Motors  Corp. will meet face to face in a last-ditch attempt to avoid  litigation over whether the Italian group still has the right  to sell its loss-mired carmaking arm to GM.",Business
Struggling Mitsubishi Motors slips deeper into loss TOKYO : Scandal-hit Japanese automaker Mitsubishi Motors interim net loss nearly doubled to 146.16 billion yen (1.38 billion dollars) and is to downgrade its full-year earnings forecast.,Business
"Integrity of Florida E-Voting in Doubt (AP) AP - With polls showing nearly equal numbers of Florida voters for President Bush and Sen. John Kerry, the election's outcome may again hinge on a Florida recount. And the more that Floridians learn about how voting machines work, the more they question whether the 15 counties with paperless voting systems can accurately count and recount votes.",Sci/Tech
"Yasser Arafat #39;s bad year Four years ago, the Palestinians launched a war against Israel. It was designed to extract additional concessions from Ehud Barak #39;s government, just after being offered all of Gaza and more than 90 of the West Bank, including parts of Jerusalem.",World
Burswood packs \$44.9m punch CASINO operator Burswood has posted a better than expected net profit of \$44.9 million for its final year before it is swallowed by Kerry Packer #39;s media and gaming giant Publishing  amp; Broadcasting Ltd.,Business
Talented flunkeys unite against phishing &lt;strong&gt;Letters&lt;/strong&gt; Featuring rare praise for &lt;em&gt;Reg&lt;/em&gt; hack,Sci/Tech
